Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
08/10/2021,desc 946,ARS,237,Gasto,,Vehículo,mecanico,nota 946
14/09/2022,desc 947,ARS,829,Gasto,Falso,Transporte,sube,nota 947
17/05/2021,desc 948,ARS,229,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 948
27/12/2022,desc 949,USD,646,Gasto,,Recreación,,nota 949
08/11/2021,desc 950,ARS,285,Gasto,Falso,Deporte,,nota 950
28/08/2022,desc 951,ARS,243,Ingreso,Verdadero,Vivienda,reparaciones,nota 951
06/08/2021,desc 952,ARS,959,Gasto,Falso,Belleza,peluquero; manicura,nota 952
24/08/2020,desc 953,ARS,229,Gasto,,Educación,universidad; postgrado,nota 953
16/02/2021,desc 954,ARS,835,Gasto,Verdadero,Vehículo,mecanico,nota 954
09/08/2022,desc 955,ARS,119,Gasto,Falso,Transporte,sube,nota 955
12/09/2022,desc 956,ARS,548,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 956
20/11/2021,desc 957,USD,112,Gasto,Verdadero,Recreación,,nota 957
15/04/2021,desc 958,ARS,755,Ingreso,Falso,Deporte,,nota 958
10/02/2022,desc 959,ARS,464,Gasto,Falso,Vivienda,reparaciones,nota 959
12/12/2020,desc 960,ARS,279,Gasto,Verdadero,Belleza,peluquero; manicura,nota 960
05/09/2021,desc 961,ARS,249,Gasto,Falso,Educación,universidad; postgrado,nota 961
22/09/2020,desc 962,USD,740,Gasto,Verdadero,Vehículo,mecanico,nota 962
23/06/2021,desc 963,ARS,692,Gasto,,Transporte,sube,nota 963
23/10/2021,desc 964,ARS,739,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 964
27/11/2022,desc 965,ARS,33,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 965
10/01/2020,desc 966,ARS,403,Gasto,,Recreación,,nota 966
07/09/2021,desc 967,ARS,949,Gasto,Verdadero,Deporte,,nota 967
13/04/2021,desc 968,ARS,903,Ingreso,Verdadero,Vivienda,reparaciones,nota 968
16/03/2020,desc 969,USD,939,Gasto,Verdadero,Belleza,peluquero; manicura,nota 969
28/04/2020,desc 970,ARS,941,Gasto,Falso,Educación,universidad; postgrado,nota 970
06/11/2020,desc 971,ARS,182,Gasto,Verdadero,Vehículo,mecanico,nota 971
11/09/2021,desc 972,ARS,96,Gasto,Falso,Transporte,sube,nota 972
18/09/2021,desc 973,ARS,347,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 973
09/11/2021,desc 974,ARS,147,Gasto,Verdadero,Recreación,,nota 974
19/04/2020,desc 975,ARS,531,Ingreso,Falso,Deporte,,nota 975
11/09/2021,desc 976,ARS,606,Gasto,,Vivienda,reparaciones,nota 976
06/02/2020,desc 977,USD,125,Gasto,Verdadero,Belleza,peluquero; manicura,nota 977
27/11/2020,desc 978,ARS,17,Gasto,Falso,Educación,universidad; postgrado,nota 978
19/07/2022,desc 979,ARS,374,Gasto,Falso,Vehículo,mecanico,nota 979
17/11/2022,desc 980,ARS,282,Gasto,Verdadero,Transporte,sube,nota 980
17/11/2021,desc 981,ARS,921,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 981
14/12/2021,desc 982,USD,22,Ingreso,Verdadero,Recreación,,nota 982
06/03/2022,desc 983,ARS,602,Gasto,,Deporte,,nota 983
23/12/2021,desc 984,ARS,735,Gasto,Falso,Vivienda,reparaciones,nota 984
21/12/2021,desc 985,ARS,542,Gasto,Verdadero,Belleza,peluquero; manicura,nota 985
24/03/2022,desc 986,ARS,190,Gasto,,Educación,universidad; postgrado,nota 986
24/11/2022,desc 987,ARS,545,Gasto,Falso,Vehículo,mecanico,nota 987
20/03/2022,desc 988,ARS,867,Gasto,Verdadero,Transporte,sube,nota 988
06/01/2021,desc 989,ARS,223,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 989
22/12/2020,desc 990,USD,486,Gasto,,Recreación,,nota 990
11/05/2021,desc 991,ARS,277,Gasto,Verdadero,Deporte,,nota 991
17/04/2020,desc 992,ARS,333,Gasto,Falso,Vivienda,reparaciones,nota 992
26/03/2022,desc 993,ARS,91,Gasto,,Belleza,peluquero; manicura,nota 993
18/09/2020,desc 994,ARS,660,Gasto,Verdadero,Educación,universidad; postgrado,nota 994
17/02/2020,desc 995,USD,905,Gasto,Falso,Vehículo,mecanico,nota 995
07/06/2021,desc 996,ARS,198,Ingreso,Falso,Transporte,sube,nota 996
22/07/2020,desc 997,ARS,623,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 997
10/03/2021,desc 998,ARS,605,Gasto,Falso,Recreación,,nota 998
02/01/2020,desc 999,ARS,854,Gasto,Verdadero,Deporte,,nota 999
13/07/2022,desc 1,ARS,472,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 1
18/04/2021,desc 2,ARS,435,Gasto,,Recreación,,nota 2
14/03/2020,desc 3,ARS,510,Gasto,Verdadero,Deporte,,nota 3
15/12/2020,desc 4,ARS,84,Ingreso,Verdadero,Vivienda,reparaciones,nota 4
14/02/2021,desc 5,USD,455,Gasto,Verdadero,Belleza,peluquero; manicura,nota 5
03/04/2022,desc 6,ARS,326,Gasto,Falso,Educación,universidad; postgrado,nota 6
22/02/2022,desc 7,ARS,562,Gasto,Verdadero,Vehículo,mecanico,nota 7
11/09/2021,desc 8,ARS,627,Gasto,Falso,Transporte,sube,nota 8
21/11/2021,desc 9,ARS,796,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 9
19/05/2022,desc 10,ARS,81,Gasto,Verdadero,Recreación,,nota 10
14/06/2021,desc 11,ARS,719,Ingreso,Falso,Deporte,,nota 11
24/03/2022,desc 12,ARS,857,Gasto,,Vivienda,reparaciones,nota 12
02/10/2020,desc 13,USD,977,Gasto,Verdadero,Belleza,peluquero; manicura,nota 13
05/09/2021,desc 14,ARS,192,Gasto,Falso,Educación,universidad; postgrado,nota 14
10/02/2020,desc 15,ARS,122,Gasto,Falso,Vehículo,mecanico,nota 15
01/01/2021,desc 16,ARS,380,Gasto,Verdadero,Transporte,sube,nota 16
05/08/2020,desc 17,ARS,477,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 17
04/05/2021,desc 18,USD,314,Ingreso,Verdadero,Recreación,,nota 18
17/03/2020,desc 19,ARS,61,Gasto,,Deporte,,nota 19
27/08/2021,desc 20,ARS,549,Gasto,Falso,Vivienda,reparaciones,nota 20
07/12/2020,desc 21,ARS,223,Gasto,Verdadero,Belleza,peluquero; manicura,nota 21
20/09/2020,desc 22,ARS,947,Gasto,,Educación,universidad; postgrado,nota 22
06/06/2020,desc 23,ARS,978,Gasto,Falso,Vehículo,mecanico,nota 23
10/03/2020,desc 24,ARS,125,Gasto,Verdadero,Transporte,sube,nota 24
01/11/2021,desc 25,ARS,71,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 25
17/08/2020,desc 26,USD,621,Gasto,,Recreación,,nota 26
24/03/2022,desc 27,ARS,940,Gasto,Verdadero,Deporte,,nota 27
17/06/2021,desc 28,ARS,805,Gasto,Falso,Vivienda,reparaciones,nota 28
20/11/2022,desc 29,ARS,947,Gasto,,Belleza,peluquero; manicura,nota 29
19/12/2020,desc 30,ARS,535,Gasto,Verdadero,Educación,universidad; postgrado,nota 30
10/02/2022,desc 31,USD,132,Gasto,Falso,Vehículo,mecanico,nota 31
10/01/2022,desc 32,ARS,894,Ingreso,Falso,Transporte,sube,nota 32
04/02/2021,desc 33,ARS,985,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 33
08/02/2022,desc 34,ARS,479,Gasto,Falso,Recreación,,nota 34
08/10/2022,desc 35,ARS,419,Gasto,Verdadero,Deporte,,nota 35
17/03/2022,desc 36,ARS,676,Gasto,,Vivienda,reparaciones,nota 36
17/03/2020,desc 37,ARS,456,Gasto,Verdadero,Belleza,peluquero; manicura,nota 37
08/07/2022,desc 38,ARS,621,Gasto,Verdadero,Educación,universidad; postgrado,nota 38
26/06/2022,desc 39,USD,724,Ingreso,Verdadero,Vehículo,mecanico,nota 39
17/05/2021,desc 40,ARS,661,Gasto,Falso,Transporte,sube,nota 40
21/12/2022,desc 41,ARS,539,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 41
18/06/2020,desc 42,ARS,632,Gasto,Falso,Recreación,,nota 42
19/12/2020,desc 43,ARS,14,Gasto,,Deporte,,nota 43
20/11/2020,desc 44,USD,204,Gasto,Verdadero,Vivienda,reparaciones,nota 44
24/02/2021,desc 45,ARS,24,Gasto,Falso,Belleza,peluquero; manicura,nota 45
19/10/2020,desc 46,ARS,495,Ingreso,,Educación,universidad; postgrado,nota 46
03/11/2021,desc 47,ARS,973,Gasto,Verdadero,Vehículo,mecanico,nota 47
15/08/2022,desc 48,ARS,704,Gasto,Falso,Transporte,sube,nota 48
06/12/2020,desc 49,ARS,829,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 49
17/11/2020,desc 50,ARS,247,Gasto,Verdadero,Recreación,,nota 50
23/02/2022,desc 51,ARS,8,Gasto,Falso,Deporte,,nota 51
15/11/2020,desc 52,USD,951,Gasto,Verdadero,Vivienda,reparaciones,nota 52
04/01/2022,desc 53,ARS,835,Ingreso,,Belleza,peluquero; manicura,nota 53
26/11/2020,desc 54,ARS,881,Gasto,Falso,Educación,universidad; postgrado,nota 54
12/04/2022,desc 55,ARS,127,Gasto,Verdadero,Vehículo,mecanico,nota 55
27/09/2022,desc 56,ARS,976,Gasto,,Transporte,sube,nota 56
23/07/2022,desc 57,USD,890,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 57
09/12/2020,desc 58,ARS,567,Gasto,Verdadero,Recreación,,nota 58
02/02/2022,desc 59,ARS,329,Gasto,Falso,Deporte,,nota 59
04/06/2022,desc 60,ARS,168,Ingreso,,Vivienda,reparaciones,nota 60
14/01/2022,desc 61,ARS,30,Gasto,Verdadero,Belleza,peluquero; manicura,nota 61
01/07/2020,desc 62,ARS,408,Gasto,Falso,Educación,universidad; postgrado,nota 62
14/05/2021,desc 63,ARS,599,Gasto,,Vehículo,mecanico,nota 63
08/02/2021,desc 64,ARS,300,Gasto,Verdadero,Transporte,sube,nota 64
12/03/2021,desc 65,USD,849,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 65
03/12/2021,desc 66,ARS,948,Gasto,Falso,Recreación,,nota 66
21/06/2022,desc 67,ARS,294,Ingreso,Verdadero,Deporte,,nota 67
12/05/2020,desc 68,ARS,534,Gasto,Falso,Vivienda,reparaciones,nota 68
23/09/2022,desc 69,ARS,725,Gasto,Verdadero,Belleza,peluquero; manicura,nota 69
17/12/2021,desc 70,USD,742,Gasto,,Educación,universidad; postgrado,nota 70
19/10/2022,desc 71,ARS,687,Gasto,Verdadero,Vehículo,mecanico,nota 71
05/06/2020,desc 72,ARS,457,Gasto,Verdadero,Transporte,sube,nota 72
17/03/2022,desc 73,ARS,70,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 73
12/01/2021,desc 74,ARS,401,Ingreso,Falso,Recreación,,nota 74
04/05/2020,desc 75,ARS,721,Gasto,Verdadero,Deporte,,nota 75
22/07/2020,desc 76,ARS,667,Gasto,Falso,Vivienda,reparaciones,nota 76
19/03/2022,desc 77,ARS,79,Gasto,,Belleza,peluquero; manicura,nota 77
19/06/2022,desc 78,USD,637,Gasto,Verdadero,Educación,universidad; postgrado,nota 78
15/02/2022,desc 79,ARS,540,Gasto,Falso,Vehículo,mecanico,nota 79
16/06/2022,desc 80,ARS,479,Gasto,,Transporte,sube,nota 80
12/03/2022,desc 81,ARS,495,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 81
24/03/2020,desc 82,ARS,29,Gasto,Falso,Recreación,,nota 82
06/12/2021,desc 83,USD,229,Gasto,Falso,Deporte,,nota 83
01/06/2021,desc 84,ARS,846,Gasto,Verdadero,Vivienda,reparaciones,nota 84
06/03/2020,desc 85,ARS,779,Gasto,Falso,Belleza,peluquero; manicura,nota 85
06/03/2022,desc 86,ARS,406,Gasto,Verdadero,Educación,universidad; postgrado,nota 86
22/05/2022,desc 87,ARS,286,Gasto,,Vehículo,mecanico,nota 87
03/06/2020,desc 88,ARS,717,Ingreso,Falso,Transporte,sube,nota 88
04/12/2021,desc 89,ARS,664,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 89
20/09/2021,desc 90,ARS,971,Gasto,,Recreación,,nota 90
26/12/2022,desc 91,USD,735,Gasto,Falso,Deporte,,nota 91
01/08/2021,desc 92,ARS,628,Gasto,Verdadero,Vivienda,reparaciones,nota 92
23/05/2022,desc 93,ARS,523,Gasto,Falso,Belleza,peluquero; manicura,nota 93
06/04/2022,desc 94,ARS,569,Gasto,,Educación,universidad; postgrado,nota 94
23/10/2022,desc 95,ARS,481,Ingreso,Verdadero,Vehículo,mecanico,nota 95
14/01/2022,desc 96,USD,503,Gasto,Falso,Transporte,sube,nota 96
18/05/2022,desc 97,ARS,126,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 97
28/04/2022,desc 98,ARS,754,Gasto,Verdadero,Recreación,,nota 98
24/10/2021,desc 99,ARS,448,Gasto,Falso,Deporte,,nota 99
20/05/2022,desc 100,ARS,315,Gasto,Falso,Vivienda,reparaciones,nota 100
11/06/2020,desc 101,ARS,359,Gasto,Verdadero,Belleza,peluquero; manicura,nota 101
17/11/2022,desc 102,ARS,682,Ingreso,Falso,Educación,universidad; postgrado,nota 102
21/10/2020,desc 103,ARS,277,Gasto,Verdadero,Vehículo,mecanico,nota 103
13/03/2022,desc 104,USD,461,Gasto,,Transporte,sube,nota 104
26/05/2020,desc 105,ARS,228,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 105
03/07/2022,desc 106,ARS,159,Gasto,Verdadero,Recreación,,nota 106
04/03/2021,desc 107,ARS,888,Gasto,Verdadero,Deporte,,nota 107
22/08/2022,desc 108,ARS,450,Gasto,Falso,Vivienda,reparaciones,nota 108
16/06/2021,desc 109,USD,974,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 109
03/09/2021,desc 110,ARS,594,Gasto,Falso,Educación,universidad; postgrado,nota 110
02/02/2020,desc 111,ARS,989,Gasto,,Vehículo,mecanico,nota 111
05/10/2020,desc 112,ARS,796,Gasto,Verdadero,Transporte,sube,nota 112
10/08/2021,desc 113,ARS,492,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 113
02/08/2022,desc 114,ARS,999,Gasto,,Recreación,,nota 114
16/10/2020,desc 115,ARS,719,Gasto,Verdadero,Deporte,,nota 115
20/04/2022,desc 116,ARS,785,Ingreso,Falso,Vivienda,reparaciones,nota 116
27/10/2020,desc 117,USD,277,Gasto,Falso,Belleza,peluquero; manicura,nota 117
17/01/2021,desc 118,ARS,644,Gasto,Verdadero,Educación,universidad; postgrado,nota 118
27/05/2022,desc 119,ARS,953,Gasto,Falso,Vehículo,mecanico,nota 119
10/11/2021,desc 120,ARS,129,Gasto,Verdadero,Transporte,sube,nota 120
13/03/2022,desc 121,ARS,57,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 121
09/08/2022,desc 122,USD,426,Gasto,Falso,Recreación,,nota 122
22/03/2020,desc 123,ARS,433,Ingreso,Verdadero,Deporte,,nota 123
27/09/2020,desc 124,ARS,425,Gasto,,Vivienda,reparaciones,nota 124
05/09/2021,desc 125,ARS,884,Gasto,Falso,Belleza,peluquero; manicura,nota 125
14/01/2021,desc 126,ARS,551,Gasto,Verdadero,Educación,universidad; postgrado,nota 126
03/06/2022,desc 127,ARS,850,Gasto,Falso,Vehículo,mecanico,nota 127
14/12/2021,desc 128,ARS,671,Gasto,,Transporte,sube,nota 128
01/05/2022,desc 129,ARS,915,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 129
21/12/2022,desc 130,USD,647,Ingreso,Falso,Recreación,,nota 130
15/09/2022,desc 131,ARS,155,Gasto,,Deporte,,nota 131
05/06/2020,desc 132,ARS,75,Gasto,Verdadero,Vivienda,reparaciones,nota 132
15/01/2021,desc 133,ARS,342,Gasto,Falso,Belleza,peluquero; manicura,nota 133
01/04/2022,desc 134,ARS,995,Gasto,Falso,Educación,universidad; postgrado,nota 134
05/04/2020,desc 135,USD,894,Gasto,Verdadero,Vehículo,mecanico,nota 135
17/03/2022,desc 136,ARS,839,Gasto,Falso,Transporte,sube,nota 136
17/05/2020,desc 137,ARS,898,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 137
25/04/2021,desc 138,ARS,189,Gasto,,Recreación,,nota 138
13/05/2022,desc 139,ARS,132,Gasto,Verdadero,Deporte,,nota 139
26/03/2021,desc 140,ARS,580,Gasto,Verdadero,Vivienda,reparaciones,nota 140
13/11/2021,desc 141,ARS,195,Gasto,Verdadero,Belleza,peluquero; manicura,nota 141
07/12/2020,desc 142,ARS,148,Gasto,Falso,Educación,universidad; postgrado,nota 142
23/03/2022,desc 143,USD,550,Gasto,Verdadero,Vehículo,mecanico,nota 143
28/04/2022,desc 144,ARS,594,Ingreso,Falso,Transporte,sube,nota 144
26/02/2022,desc 145,ARS,659,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 145
19/02/2021,desc 146,ARS,76,Gasto,Verdadero,Recreación,,nota 146
04/09/2022,desc 147,ARS,664,Gasto,Falso,Deporte,,nota 147
05/06/2021,desc 148,USD,215,Gasto,,Vivienda,reparaciones,nota 148
01/03/2022,desc 149,ARS,237,Gasto,Verdadero,Belleza,peluquero; manicura,nota 149
23/03/2020,desc 150,ARS,663,Gasto,Falso,Educación,universidad; postgrado,nota 150
20/01/2021,desc 151,ARS,695,Ingreso,Falso,Vehículo,mecanico,nota 151
14/02/2021,desc 152,ARS,100,Gasto,Verdadero,Transporte,sube,nota 152
07/05/2020,desc 153,ARS,101,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 153
10/03/2020,desc 154,ARS,556,Gasto,Verdadero,Recreación,,nota 154
25/08/2022,desc 155,ARS,529,Gasto,,Deporte,,nota 155
27/11/2020,desc 156,USD,409,Gasto,Falso,Vivienda,reparaciones,nota 156
07/01/2021,desc 157,ARS,556,Gasto,Verdadero,Belleza,peluquero; manicura,nota 157
04/10/2021,desc 158,ARS,858,Ingreso,,Educación,universidad; postgrado,nota 158
14/05/2021,desc 159,ARS,374,Gasto,Falso,Vehículo,mecanico,nota 159
09/08/2021,desc 160,ARS,487,Gasto,Verdadero,Transporte,sube,nota 160
10/03/2020,desc 161,USD,989,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 161
17/05/2022,desc 162,ARS,255,Gasto,,Recreación,,nota 162
09/08/2021,desc 163,ARS,174,Gasto,Verdadero,Deporte,,nota 163
10/02/2021,desc 164,ARS,827,Gasto,Falso,Vivienda,reparaciones,nota 164
27/02/2020,desc 165,ARS,204,Ingreso,,Belleza,peluquero; manicura,nota 165
01/12/2021,desc 166,ARS,123,Gasto,Verdadero,Educación,universidad; postgrado,nota 166
11/10/2022,desc 167,ARS,570,Gasto,Falso,Vehículo,mecanico,nota 167
11/11/2022,desc 168,ARS,821,Gasto,Falso,Transporte,sube,nota 168
01/08/2020,desc 169,USD,713,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 169
04/02/2022,desc 170,ARS,893,Gasto,Falso,Recreación,,nota 170
20/06/2021,desc 171,ARS,227,Gasto,Verdadero,Deporte,,nota 171
23/03/2021,desc 172,ARS,39,Ingreso,,Vivienda,reparaciones,nota 172
08/02/2021,desc 173,ARS,606,Gasto,Verdadero,Belleza,peluquero; manicura,nota 173
08/04/2021,desc 174,USD,782,Gasto,Verdadero,Educación,universidad; postgrado,nota 174
07/11/2021,desc 175,ARS,639,Gasto,Verdadero,Vehículo,mecanico,nota 175
02/05/2022,desc 176,ARS,560,Gasto,Falso,Transporte,sube,nota 176
05/02/2022,desc 177,ARS,423,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 177
04/07/2021,desc 178,ARS,926,Gasto,Falso,Recreación,,nota 178
13/03/2022,desc 179,ARS,91,Ingreso,,Deporte,,nota 179
09/09/2022,desc 180,ARS,173,Gasto,Verdadero,Vivienda,reparaciones,nota 180
11/10/2021,desc 181,ARS,45,Gasto,Falso,Belleza,peluquero; manicura,nota 181
24/10/2020,desc 182,USD,929,Gasto,,Educación,universidad; postgrado,nota 182
23/01/2022,desc 183,ARS,334,Gasto,Verdadero,Vehículo,mecanico,nota 183
05/06/2020,desc 184,ARS,99,Gasto,Falso,Transporte,sube,nota 184
12/04/2022,desc 185,ARS,13,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 185
15/08/2022,desc 186,ARS,757,Ingreso,Verdadero,Recreación,,nota 186
21/04/2021,desc 187,USD,672,Gasto,Falso,Deporte,,nota 187
11/01/2021,desc 188,ARS,286,Gasto,Verdadero,Vivienda,reparaciones,nota 188
26/12/2021,desc 189,ARS,821,Gasto,,Belleza,peluquero; manicura,nota 189
02/04/2021,desc 190,ARS,985,Gasto,Falso,Educación,universidad; postgrado,nota 190
25/06/2021,desc 191,ARS,557,Gasto,Verdadero,Vehículo,mecanico,nota 191
07/04/2022,desc 192,ARS,184,Gasto,,Transporte,sube,nota 192
21/02/2020,desc 193,ARS,676,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 193
13/11/2022,desc 194,ARS,390,Gasto,Verdadero,Recreación,,nota 194
05/05/2021,desc 195,USD,525,Gasto,Falso,Deporte,,nota 195
08/01/2020,desc 196,ARS,361,Gasto,,Vivienda,reparaciones,nota 196
16/05/2022,desc 197,ARS,943,Gasto,Verdadero,Belleza,peluquero; manicura,nota 197
22/05/2021,desc 198,ARS,981,Gasto,Falso,Educación,universidad; postgrado,nota 198
05/08/2020,desc 199,ARS,272,Gasto,,Vehículo,mecanico,nota 199
01/03/2022,desc 200,USD,295,Ingreso,Verdadero,Transporte,sube,nota 200
17/11/2022,desc 201,ARS,993,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 201
08/01/2020,desc 202,ARS,657,Gasto,Falso,Recreación,,nota 202
16/10/2020,desc 203,ARS,939,Gasto,Verdadero,Deporte,,nota 203
10/10/2021,desc 204,ARS,136,Gasto,Falso,Vivienda,reparaciones,nota 204
01/05/2021,desc 205,ARS,432,Gasto,Verdadero,Belleza,peluquero; manicura,nota 205
24/03/2022,desc 206,ARS,816,Gasto,,Educación,universidad; postgrado,nota 206
21/09/2021,desc 207,ARS,223,Ingreso,Verdadero,Vehículo,mecanico,nota 207
23/02/2021,desc 208,USD,291,Gasto,Verdadero,Transporte,sube,nota 208
08/06/2021,desc 209,ARS,797,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 209
05/06/2020,desc 210,ARS,390,Gasto,Falso,Recreación,,nota 210
09/05/2022,desc 211,ARS,767,Gasto,Verdadero,Deporte,,nota 211
01/03/2021,desc 212,ARS,215,Gasto,Falso,Vivienda,reparaciones,nota 212
14/05/2021,desc 213,USD,600,Gasto,,Belleza,peluquero; manicura,nota 213
15/12/2021,desc 214,ARS,9,Ingreso,Verdadero,Educación,universidad; postgrado,nota 214
14/02/2021,desc 215,ARS,375,Gasto,Falso,Vehículo,mecanico,nota 215
06/04/2022,desc 216,ARS,894,Gasto,,Transporte,sube,nota 216
26/05/2021,desc 217,ARS,268,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 217
11/11/2021,desc 218,ARS,181,Gasto,Falso,Recreación,,nota 218
13/08/2020,desc 219,ARS,18,Gasto,Falso,Deporte,,nota 219
27/09/2022,desc 220,ARS,126,Gasto,Verdadero,Vivienda,reparaciones,nota 220
20/07/2022,desc 221,USD,902,Ingreso,Falso,Belleza,peluquero; manicura,nota 221
15/04/2020,desc 222,ARS,681,Gasto,Verdadero,Educación,universidad; postgrado,nota 222
27/05/2021,desc 223,ARS,235,Gasto,,Vehículo,mecanico,nota 223
03/07/2021,desc 224,ARS,823,Gasto,Falso,Transporte,sube,nota 224
20/04/2022,desc 225,ARS,992,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 225
05/05/2021,desc 226,USD,591,Gasto,,Recreación,,nota 226
21/06/2022,desc 227,ARS,512,Gasto,Falso,Deporte,,nota 227
27/03/2020,desc 228,ARS,300,Ingreso,Verdadero,Vivienda,reparaciones,nota 228
05/02/2022,desc 229,ARS,187,Gasto,Falso,Belleza,peluquero; manicura,nota 229
07/06/2021,desc 230,ARS,780,Gasto,,Educación,universidad; postgrado,nota 230
08/08/2021,desc 231,ARS,463,Gasto,Verdadero,Vehículo,mecanico,nota 231
12/10/2022,desc 232,ARS,652,Gasto,Falso,Transporte,sube,nota 232
06/03/2020,desc 233,ARS,946,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 233
10/11/2021,desc 234,USD,956,Gasto,Verdadero,Recreación,,nota 234
17/07/2020,desc 235,ARS,114,Ingreso,Falso,Deporte,,nota 235
24/04/2022,desc 236,ARS,137,Gasto,Falso,Vivienda,reparaciones,nota 236
09/02/2022,desc 237,ARS,480,Gasto,Verdadero,Belleza,peluquero; manicura,nota 237
22/11/2020,desc 238,ARS,806,Gasto,Falso,Educación,universidad; postgrado,nota 238
19/08/2020,desc 239,USD,440,Gasto,Verdadero,Vehículo,mecanico,nota 239
09/03/2020,desc 240,ARS,700,Gasto,,Transporte,sube,nota 240
21/04/2021,desc 241,ARS,646,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 241
01/07/2022,desc 242,ARS,155,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 242
25/12/2021,desc 243,ARS,351,Gasto,,Recreación,,nota 243
24/12/2021,desc 244,ARS,612,Gasto,Verdadero,Deporte,,nota 244
25/05/2021,desc 245,ARS,611,Ingreso,Verdadero,Vivienda,reparaciones,nota 245
12/01/2021,desc 246,USD,529,Gasto,Verdadero,Belleza,peluquero; manicura,nota 246
24/01/2021,desc 247,ARS,686,Gasto,Falso,Educación,universidad; postgrado,nota 247
21/01/2020,desc 248,ARS,524,Gasto,Verdadero,Vehículo,mecanico,nota 248
11/08/2020,desc 249,ARS,920,Gasto,Falso,Transporte,sube,nota 249
21/12/2020,desc 250,ARS,968,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 250
20/07/2021,desc 251,ARS,438,Gasto,Verdadero,Recreación,,nota 251
01/08/2020,desc 252,ARS,107,Ingreso,Falso,Deporte,,nota 252
07/12/2021,desc 253,ARS,312,Gasto,,Vivienda,reparaciones,nota 253
02/03/2021,desc 254,USD,465,Gasto,Verdadero,Belleza,peluquero; manicura,nota 254
28/01/2022,desc 255,ARS,314,Gasto,Falso,Educación,universidad; postgrado,nota 255
19/07/2020,desc 256,ARS,833,Gasto,Falso,Vehículo,mecanico,nota 256
17/05/2020,desc 257,ARS,29,Gasto,Verdadero,Transporte,sube,nota 257
26/09/2021,desc 258,ARS,921,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 258
16/04/2022,desc 259,USD,998,Ingreso,Verdadero,Recreación,,nota 259
15/06/2020,desc 260,ARS,421,Gasto,,Deporte,,nota 260
22/04/2020,desc 261,ARS,607,Gasto,Falso,Vivienda,reparaciones,nota 261
06/03/2020,desc 262,ARS,110,Gasto,Verdadero,Belleza,peluquero; manicura,nota 262
26/03/2021,desc 263,ARS,902,Gasto,,Educación,universidad; postgrado,nota 263
16/12/2022,desc 264,ARS,882,Gasto,Falso,Vehículo,mecanico,nota 264
